"TOA5","Compass_PTR_TR_312","CR1000X","28735","CR1000X.Std.05.01","CPU:COMPASS_v3.CR1X","60334","WaterLevel600B"
"TIMESTAMP","RECORD","PB","Statname","Aquatroll_IDB(1)","Barometric_Pressure600B","Temperature600B","Actual_Conductivity600B","Specific_Conductivity600B","Salinity600B","TDS600B","Water_Density600B","Resistivity600B","pH600B","pH_mV600B","pH_ORP600B","RDO_concen600B","RDO_perc_sat600B","RDO_part_Pressure600B","Pressure600B","Depth600B","Voltage_Ext600B","Battery_Int600B"
"TS","RN","","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-03-09 00:15:00",28454,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",759.48,9.06,2586.8,3718.8,1.95,2.42,1.001,386.58,7.04,-34.4,25.9,0,0,-0.45,3.259,248.5,11.362,58
"2023-03-09 00:30:00",28455,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",759.41,9.06,2586.1,3718.3,1.95,2.42,1.001,386.69,7.04,-34.4,28.8,0,0,-0.44,3.261,248.69,11.353,58
"2023-03-09 00:45:00",28456,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",759.35,9.06,2585.8,3718,1.95,2.42,1.001,386.72,7.04,-34.4,30.5,0,0,-0.44,3.258,248.44,11.353,58
"2023-03-09 01:00:00",28457,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",759.34,9.06,2585.7,3717.9,1.95,2.42,1.001,386.74,7.04,-34.4,32.9,0,0,-0.45,3.26,248.61,11.353,58
"2023-03-09 01:15:00",28458,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",759.25,9.06,2587.5,3720,1.95,2.42,1.001,386.48,7.04,-34.3,19.5,0,0,-0.45,3.261,248.65,11.353,58
"2023-03-09 01:30:00",28459,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",759.18,9.06,2587.5,3720.3,1.95,2.42,1.001,386.48,7.04,-34.3,22.9,0,0,-0.45,3.259,248.54,11.362,58
"2023-03-09 01:45:00",28460,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",759.07,9.06,2587.8,3720.8,1.95,2.42,1.001,386.43,7.04,-34.3,25.4,0,0,-0.44,3.26,248.58,11.362,58
"2023-03-09 02:00:00",28461,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",759.1,9.06,2588,3721.1,1.95,2.42,1.001,386.4,7.04,-34.3,27.3,0,0,-0.45,3.263,248.81,11.344,58
"2023-03-09 02:15:00",28462,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",758.87,9.06,2594.9,3730.7,1.96,2.42,1.001,385.38,7.04,-34.3,24.1,0,0,-0.45,3.261,248.66,11.344,58
"2023-03-09 02:30:00",28463,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",758.84,9.06,2594.3,3730,1.96,2.42,1.001,385.46,7.04,-34.3,26,0,0,-0.44,3.262,248.72,11.344,58
"2023-03-09 02:45:00",28464,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",758.75,9.06,2594.2,3730.2,1.96,2.42,1.001,385.47,7.04,-34.3,28.1,0,0,-0.45,3.261,248.7,11.362,58
"2023-03-09 03:00:00",28465,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",758.72,9.06,2594.2,3730.1,1.96,2.42,1.001,385.47,7.04,-34.3,29.7,0,0,-0.45,3.264,248.85,11.362,58
"2023-03-09 03:15:00",28466,312,"COMPASS_PTR_TR","813IN-SITU AT600V229 8",758.6,9.06,2597.6,3734.5,1.96,2.43,1.001,384.98,7.04,-34.2,15.5,0,0,-0.46,3.262,248.75,11.362,58
