"TOA5","Compass_OWC_UP_323","CR1000X","28722","CR1000X.Std.05.01","CPU:COMPASS_v3.CR1X","57162","WaterLevel600B"
"TIMESTAMP","RECORD","PB","Statname","Aquatroll_IDB(1)","Barometric_Pressure600B","Temperature600B","Actual_Conductivity600B","Specific_Conductivity600B","Salinity600B","TDS600B","Water_Density600B","Resistivity600B","pH600B","pH_mV600B","pH_ORP600B","RDO_concen600B","RDO_perc_sat600B","RDO_part_Pressure600B","Pressure600B","Depth600B","Voltage_Ext600B","Battery_Int600B"
"TS","RN","","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-01-08 00:00:00",28081,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757.73,6.89,271.16,414.54,0.2,0.27,1,3687.9,6.83,-6.8,103.5,0,0,-0.57,0.41,48,11.281,76
"2023-01-08 00:15:00",28082,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757.71,6.89,270.96,414.3,0.2,0.27,1,3690.6,6.82,-6.8,104.4,0,0,-0.57,0.41,47.95,11.281,76
"2023-01-08 00:30:00",28083,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757.59,6.88,271.26,414.79,0.2,0.27,1,3686.5,6.82,-6.8,104.5,0,0,-0.56,0.41,47.97,11.299,76
"2023-01-08 00:45:00",28084,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757.36,6.9,272.09,415.88,0.2,0.27,1,3675.2,6.83,-6.9,102.8,0,0,-0.57,0.409,47.9,11.299,76
"2023-01-08 01:00:00",28085,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757.13,6.89,271.85,415.63,0.2,0.27,1,3678.5,6.83,-6.9,102.3,0,0,-0.57,0.41,48,11.281,76
"2023-01-08 01:15:00",28086,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757.06,6.88,272,415.9,0.2,0.27,1,3676.5,6.83,-7,103.5,0,0,-0.57,0.408,47.82,11.308,76
"2023-01-08 01:30:00",28087,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",756.95,6.88,271.82,415.67,0.2,0.27,1,3678.9,6.83,-7,103.2,0,0,-0.57,0.411,48.01,11.308,76
"2023-01-08 01:45:00",28088,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",756.9,6.91,274.18,418.92,0.2,0.27,1,3647.2,6.83,-6.8,101.8,0,0,-0.57,0.412,48.14,11.281,76
"2023-01-08 02:00:00",28089,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",756.95,6.89,273.45,418.1,0.2,0.27,1,3657,6.83,-6.9,102.5,0,0,-0.56,0.408,47.87,11.281,76
"2023-01-08 02:15:00",28090,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757,6.88,273.41,418.12,0.2,0.27,1,3657.5,6.83,-6.9,103.2,0,0,-0.57,0.409,47.91,11.299,76
"2023-01-08 02:30:00",28091,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757.11,6.88,273.4,418.12,0.2,0.27,1,3657.6,6.83,-6.9,103.5,0,0,-0.57,0.412,48.09,11.29,76
"2023-01-08 02:45:00",28092,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757.22,6.89,274.13,419.08,0.2,0.27,1,3647.8,6.83,-7,100.7,0,0,-0.56,0.409,47.93,11.308,76
"2023-01-08 03:00:00",28093,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757.2,6.88,273.92,418.86,0.2,0.27,1,3650.7,6.83,-7,101.9,0,0,-0.57,0.409,47.92,11.299,76
"2023-01-08 03:15:00",28094,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",757.13,6.88,274.62,419.98,0.2,0.27,1,3641.4,6.83,-7.1,102.2,0,0,-0.57,0.409,47.88,11.299,76
