"TOA5","Compass_OWC_TR_322","CR1000X","28725","CR1000X.Std.05.01","CPU:COMPASS_v3.1.CR1X","17583","WaterLevel600A"
"TIMESTAMP","RECORD","PB","Statname","Aquatroll_IDA(1)","Barometric_Pressure600A","Temperature600A","Actual_Conductivity600A","Specific_Conductivity600A","Salinity600A","TDS600A","Water_Density600A","Resistivity600A","pH600A","pH_mV600A","pH_ORP600A","RDO_concen600A","RDO_perc_sat600A","RDO_part_Pressure600A","Pressure600A","Depth600A","Voltage_Ext600A","Battery_Int600A"
"TS","RN","","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-08-24 14:45:00",2520,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",749.13,17.93,578.76,669.11,0.33,0.43,0.999,1727.8,6.76,-7.1,-58.3,0,0,-0.43,-0.001,19.08,11.425,79
"2022-08-24 15:00:00",2521,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.96,17.94,578.84,669.07,0.33,0.43,0.999,1727.6,6.76,-7.1,-52.3,0,0,-0.44,0.002,19.3,11.434,79
"2022-08-24 15:15:00",2522,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.95,17.94,578.84,669.03,0.33,0.43,0.999,1727.6,6.76,-7.1,-58,0,0,-0.44,0,19.14,11.434,79
"2022-08-24 15:30:00",2523,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.9,17.94,578.82,668.97,0.33,0.43,0.999,1727.7,6.76,-7.1,-59.1,0,0,-0.44,0,19.18,11.434,79
"2022-08-24 15:45:00",2524,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.89,17.93,595.58,688.55,0.34,0.45,0.999,1679,6.76,-7.1,-75.1,0,0,-0.38,0,19.13,11.443,79
"2022-08-24 16:00:00",2525,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.8,17.94,595.82,688.68,0.34,0.45,0.999,1678.4,6.76,-7,-76.9,0,0,-0.44,0,19.15,11.461,79
"2022-08-24 16:15:00",2526,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.73,17.94,595.89,688.72,0.34,0.45,0.999,1678.2,6.76,-7,-72.6,0,0,-0.44,0,19.19,11.452,79
"2022-08-24 16:30:00",2527,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.51,17.94,595.92,688.74,0.34,0.45,0.999,1678.1,6.76,-7.1,-67.2,0,0,-0.44,0,19.16,11.425,79
"2022-08-24 16:45:00",2528,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.45,17.93,586.96,678.54,0.33,0.44,0.999,1703.7,6.76,-7.1,-70.2,0,0,-0.34,0.001,19.23,11.443,79
"2022-08-24 17:00:00",2529,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.56,17.94,587.15,678.63,0.33,0.44,0.999,1703.1,6.76,-7,-71.4,0,0,-0.44,-0.001,19.11,11.416,79
"2022-08-24 17:15:00",2530,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.64,17.94,587.18,678.63,0.33,0.44,0.999,1703.1,6.76,-7.1,-71.4,0,0,-0.44,0.001,19.25,11.425,79
"2022-08-24 17:30:00",2531,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.67,17.95,587.21,678.66,0.33,0.44,0.999,1703,6.76,-7.1,-70.4,0,0,-0.45,0,19.13,11.434,79
"2022-08-24 17:45:00",2532,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.68,17.93,596.61,689.71,0.34,0.45,0.999,1676.1,6.76,-7,-78.9,0,0,-0.35,0,19.14,11.425,79
