"TOA5","Compass_PTR_W_311","CR1000X","28723","CR1000X.Std.05.01","CPU:COMPASS_v3.CR1X","60334","WaterLevel600C"
"TIMESTAMP","RECORD","PB","Statname","Aquatroll_IDC(1)","Barometric_Pressure600C","Temperature600C","Actual_Conductivity600C","Specific_Conductivity600C","Salinity600C","TDS600C","Water_Density600C","Resistivity600C","pH600C","pH_mV600C","pH_ORP600C","RDO_concen600C","RDO_perc_sat600C","RDO_part_Pressure600C","Pressure600C","Depth600C","Voltage_Ext600C","Battery_Int600C"
"TS","RN","","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-03-09 00:00:00",28465,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.82,5.87,907.98,1430.5,0.71,0.93,1.001,1101.3,6.93,-32.9,-110.1,0,0,-0.73,1.012,90.34,12.137,46
"2023-03-09 00:15:00",28466,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.85,5.87,907.98,1430.6,0.71,0.93,1.001,1101.3,6.93,-32.8,-107.8,0,0,-0.73,1.011,90.27,12.074,46
"2023-03-09 00:30:00",28467,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.7,5.89,909.5,1432.5,0.71,0.93,1.001,1099.5,6.93,-33,-116,0,0,-0.71,1.011,90.26,12.092,46
"2023-03-09 00:45:00",28468,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.66,5.88,908.61,1431.4,0.71,0.93,1.001,1100.6,6.93,-32.9,-113.8,0,0,-0.71,1.013,90.43,12.119,46
"2023-03-09 01:00:00",28469,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.61,5.88,908.48,1431.3,0.71,0.93,1.001,1100.7,6.93,-32.9,-109.4,0,0,-0.72,1.011,90.27,12.029,46
"2023-03-09 01:15:00",28470,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.52,5.87,908.43,1431.3,0.71,0.93,1.001,1100.8,6.93,-32.9,-104,0,0,-0.73,1.01,90.23,12.11,46
"2023-03-09 01:30:00",28471,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.49,5.88,909.52,1432.8,0.71,0.93,1.001,1099.5,6.93,-33,-114.2,0,0,-0.71,1.009,90.13,12.038,46
"2023-03-09 01:45:00",28472,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.34,5.88,909.37,1432.5,0.71,0.93,1.001,1099.7,6.93,-32.9,-112.9,0,0,-0.72,1.01,90.22,12.074,46
"2023-03-09 02:00:00",28473,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.36,5.88,909.28,1432.4,0.71,0.93,1.001,1099.8,6.93,-32.9,-110,0,0,-0.72,1.009,90.18,12.002,46
"2023-03-09 02:15:00",28474,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.18,5.88,909.29,1432.5,0.71,0.93,1.001,1099.8,6.93,-32.8,-107.1,0,0,-0.73,1.008,90.08,12.011,46
"2023-03-09 02:30:00",28475,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",758.07,5.89,911.27,1435.2,0.71,0.93,1.001,1097.4,6.93,-33,-116.1,0,0,-0.7,1.01,90.24,12.065,46
"2023-03-09 02:45:00",28476,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",757.97,5.88,910.23,1433.8,0.71,0.93,1.001,1098.6,6.93,-32.9,-111.8,0,0,-0.71,1.01,90.19,12.074,46
"2023-03-09 03:00:00",28477,311,"COMPASS_PTR_W","913IN-SITU AT600V229 8",757.92,5.88,910.2,1433.9,0.71,0.93,1.001,1098.7,6.93,-32.9,-107.7,0,0,-0.73,1.008,90.1,11.984,46
