"TOA5","Compass_OWC_W_321","CR1000X","28729","CR1000X.Std.05.01","CPU:COMPASS_v3.1.CR1X","35972","WaterLevel600C"
"TIMESTAMP","RECORD","PB","Statname","Aquatroll_IDC(1)","Barometric_Pressure600C","Temperature600C","Actual_Conductivity600C","Specific_Conductivity600C","Salinity600C","TDS600C","Water_Density600C","Resistivity600C","pH600C","pH_mV600C","pH_ORP600C","RDO_concen600C","RDO_perc_sat600C","RDO_part_Pressure600C","Pressure600C","Depth600C","Voltage_Ext600C","Battery_Int600C"
"TS","RN","","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-03-09 00:00:00",24338,321,"28729","913IN-SITU AT600V229 8",759.29,4.57,652.06,1069.2,0.52,0.69,1,1533.6,6.8,-23.8,-170.3,0,0,-0.56,0.404,47.53,11.515,71
"2023-03-09 00:15:00",24339,321,"28729","913IN-SITU AT600V229 8",759.34,4.57,652.25,1069.6,0.52,0.7,1,1533.2,6.8,-23.9,-170.9,0,0,-0.56,0.407,47.71,11.533,71
"2023-03-09 00:30:00",24340,321,"28729","913IN-SITU AT600V229 8",759.14,4.59,657.36,1077.4,0.52,0.7,1,1521.2,6.76,-21.6,-169.9,0,0,-0.56,0.406,47.71,11.524,71
"2023-03-09 00:45:00",24341,321,"28729","913IN-SITU AT600V229 8",759.01,4.58,657.62,1078.2,0.52,0.7,1,1520.6,6.8,-24,-175.5,0,0,-0.57,0.405,47.61,11.506,71
"2023-03-09 01:00:00",24342,321,"28729","913IN-SITU AT600V229 8",759.15,4.57,657.23,1077.9,0.52,0.7,1,1521.5,6.8,-23.9,-175.8,0,0,-0.57,0.407,47.81,11.506,71
"2023-03-09 01:15:00",24343,321,"28729","913IN-SITU AT600V229 8",759.17,4.56,658.38,1079.9,0.53,0.7,1,1518.9,6.8,-23.9,-175.1,0,0,-0.57,0.405,47.55,11.524,71
"2023-03-09 01:30:00",24344,321,"28729","913IN-SITU AT600V229 8",758.85,4.58,661.47,1084.4,0.53,0.7,1,1511.8,6.78,-22.4,-175.9,0,0,-0.56,0.407,47.7,11.506,71
"2023-03-09 01:45:00",24345,321,"28729","913IN-SITU AT600V229 8",758.84,4.57,661.79,1085.2,0.53,0.71,1,1511.1,6.8,-23.9,-180.8,0,0,-0.57,0.405,47.59,11.506,71
"2023-03-09 02:00:00",24346,321,"28729","913IN-SITU AT600V229 8",758.75,4.57,662.28,1086.2,0.53,0.71,1,1509.9,6.8,-24,-181.9,0,0,-0.57,0.407,47.69,11.524,71
"2023-03-09 02:15:00",24347,321,"28729","913IN-SITU AT600V229 8",758.75,4.56,663.15,1087.8,0.53,0.71,1,1508,6.8,-24,-182.9,0,0,-0.57,0.402,47.33,11.506,71
"2023-03-09 02:30:00",24348,321,"28729","913IN-SITU AT600V229 8",758.62,4.58,666.64,1093.1,0.53,0.71,1,1500.1,6.76,-21.6,-181,0,0,-0.56,0.403,47.43,11.515,71
"2023-03-09 02:45:00",24349,321,"28729","913IN-SITU AT600V229 8",758.47,4.57,666.63,1093.2,0.53,0.71,1,1500.1,6.8,-24,-185.8,0,0,-0.57,0.403,47.45,11.515,71
"2023-03-09 03:00:00",24350,321,"28729","913IN-SITU AT600V229 8",758.38,4.56,666.73,1093.6,0.53,0.71,1,1499.9,6.8,-24,-183.8,0,0,-0.58,0.403,47.46,11.497,71
"2023-03-09 03:15:00",24351,321,"28729","913IN-SITU AT600V229 8",758.35,4.56,667.6,1095.1,0.53,0.71,1,1497.9,6.8,-24,-183.2,0,0,-0.57,0.403,47.45,11.497,71
"2023-03-09 03:30:00",24352,321,"28729","913IN-SITU AT600V229 8",758.35,4.57,670.25,1099,0.53,0.71,1,1492,6.77,-22.3,-188,0,0,-0.57,0.404,47.52,11.506,71
