"TOA5","Compass_OWC_TR_322","CR1000X","28725","CR1000X.Std.05.01","CPU:COMPASS_v3.1.CR1X","17583","WaterLevel600A"
"TIMESTAMP","RECORD","PB","Statname","Aquatroll_IDA(1)","Barometric_Pressure600A","Temperature600A","Actual_Conductivity600A","Specific_Conductivity600A","Salinity600A","TDS600A","Water_Density600A","Resistivity600A","pH600A","pH_mV600A","pH_ORP600A","RDO_concen600A","RDO_perc_sat600A","RDO_part_Pressure600A","Pressure600A","Depth600A","Voltage_Ext600A","Battery_Int600A"
"TS","RN","","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-09-10 00:15:00",4094,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.85,18.11,618.91,712.66,0.35,0.46,0.999,1615.7,6.78,-8.1,-270.9,0,0,-0.45,0.003,19.35,11.416,78
"2022-09-10 00:30:00",4095,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.96,18.11,619.01,712.79,0.35,0.46,0.999,1615.5,6.78,-8.1,-268.1,0,0,-0.45,0.003,19.35,11.425,78
"2022-09-10 00:45:00",4096,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",749,18.11,619.96,713.98,0.35,0.46,0.999,1613,6.78,-8.2,-276.4,0,0,-0.45,0.001,19.19,11.425,78
"2022-09-10 01:00:00",4097,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.99,18.11,620.12,714.1,0.35,0.46,0.999,1612.6,6.78,-8.1,-282.3,0,0,-0.45,0.001,19.21,11.434,78
"2022-09-10 01:15:00",4098,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.92,18.11,620.09,714.06,0.35,0.46,0.999,1612.7,6.78,-8.2,-284.1,0,0,-0.45,0.003,19.34,11.434,78
"2022-09-10 01:30:00",4099,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",748.95,18.11,620.09,714.07,0.35,0.46,0.999,1612.7,6.78,-8.2,-290.3,0,0,-0.45,0.002,19.27,11.434,78
"2022-09-10 01:45:00",4100,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",749.11,18.1,617.18,710.82,0.35,0.46,0.999,1620.3,6.78,-8.1,-292.8,0,0,-0.45,0.001,19.24,11.434,78
"2022-09-10 02:00:00",4101,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",749.08,18.11,617.27,710.87,0.35,0.46,0.999,1620,6.78,-8.1,-293.5,0,0,-0.45,0,19.16,11.452,78
"2022-09-10 02:15:00",4102,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",749.11,18.11,616.97,710.49,0.35,0.46,0.999,1620.8,6.78,-8.1,-286.5,0,0,-0.45,0,19.19,11.452,78
"2022-09-10 02:30:00",4103,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",749.06,18.11,617.26,710.84,0.35,0.46,0.999,1620.1,6.78,-8.1,-274.1,0,0,-0.45,0.002,19.33,11.425,78
"2022-09-10 02:45:00",4104,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",749.1,18.1,620.07,714.2,0.35,0.46,0.999,1612.7,6.78,-8.1,-276.9,0,0,-0.44,0.002,19.25,11.434,78
"2022-09-10 03:00:00",4105,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",749.01,18.1,620.16,714.22,0.35,0.46,0.999,1612.5,6.78,-8.1,-291.2,0,0,-0.45,0.004,19.42,11.425,78
"2022-09-10 03:15:00",4106,322,"COMPASS_OWC_TR","713IN-SITU AT600V229 8",749.08,18.1,620.15,714.22,0.35,0.46,0.999,1612.5,6.78,-8.2,-301.9,0,0,-0.45,0.005,19.53,11.425,78
