"TOA5","Compass_OWC_UP_323","CR1000X","28722","CR1000X.Std.05.01","CPU:COMPASS_v3.CR1X","57162","WaterLevel600B"
"TIMESTAMP","RECORD","PB","Statname","Aquatroll_IDB(1)","Barometric_Pressure600B","Temperature600B","Actual_Conductivity600B","Specific_Conductivity600B","Salinity600B","TDS600B","Water_Density600B","Resistivity600B","pH600B","pH_mV600B","pH_ORP600B","RDO_concen600B","RDO_perc_sat600B","RDO_part_Pressure600B","Pressure600B","Depth600B","Voltage_Ext600B","Battery_Int600B"
"TS","RN","","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-11-09 00:00:00",22321,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",760.51,12.64,468.25,612.98,0.3,0.4,1,2135.6,6.74,-2.3,-152,0,0,-0.52,0.268,38.01,11.29,80
"2022-11-09 00:15:00",22322,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",760.56,12.64,468.88,613.8,0.3,0.4,1,2132.8,6.76,-3,-157.7,0,0,-0.51,0.266,37.87,11.308,80
"2022-11-09 00:30:00",22323,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",760.42,12.64,467.64,612.2,0.3,0.4,1,2138.4,6.75,-2.9,-158.7,0,0,-0.51,0.271,38.25,11.308,80
"2022-11-09 00:45:00",22324,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",760.36,12.64,468.15,612.88,0.3,0.4,1,2136.1,6.75,-2.9,-159.2,0,0,-0.51,0.271,38.21,11.317,80
"2022-11-09 01:00:00",22325,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",760.31,12.63,468.24,613.02,0.3,0.4,1,2135.6,6.76,-3.1,-160.1,0,0,-0.5,0.267,37.98,11.308,80
"2022-11-09 01:15:00",22326,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",759.99,12.63,469.21,614.34,0.3,0.4,1,2131.2,6.75,-2.8,-158.3,0,0,-0.51,0.271,38.2,11.299,80
"2022-11-09 01:30:00",22327,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",759.78,12.63,469.1,614.15,0.3,0.4,1,2131.7,6.75,-2.6,-157.1,0,0,-0.5,0.271,38.26,11.29,80
"2022-11-09 01:45:00",22328,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",759.63,12.63,468.58,613.49,0.3,0.4,1,2134.1,6.75,-2.6,-159,0,0,-0.51,0.268,38.01,11.299,80
"2022-11-09 02:00:00",22329,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",759.57,12.63,468.95,614.01,0.3,0.4,1,2132.4,6.75,-2.6,-159.9,0,0,-0.5,0.27,38.16,11.29,80
"2022-11-09 02:15:00",22330,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",759.5,12.63,468.23,613.07,0.3,0.4,1,2135.7,6.75,-3,-164,0,0,-0.51,0.27,38.16,11.299,80
"2022-11-09 02:30:00",22331,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",759.3,12.63,469.42,614.65,0.3,0.4,1,2130.3,6.76,-3.1,-165,0,0,-0.5,0.271,38.23,11.299,80
"2022-11-09 02:45:00",22332,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",759.14,12.63,467.89,612.68,0.3,0.4,1,2137.2,6.76,-3,-166.4,0,0,-0.51,0.268,38.01,11.299,80
"2022-11-09 03:00:00",22333,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",758.96,12.63,468.9,614,0.3,0.4,1,2132.7,6.76,-3.1,-167.6,0,0,-0.51,0.27,38.16,11.317,80
"2022-11-09 03:15:00",22334,323,"COMPASS_OWC_UP","813IN-SITU AT600V229 8",759.03,12.62,469.33,614.61,0.3,0.4,1,2130.7,6.75,-2.8,-164.1,0,0,-0.5,0.271,38.23,11.299,80
