Date,Year,Month,Day,Campaing,Site,Depth (cm),zone,Ehf (mV),TIME,Tsoil,Tmean,Notes,,,
8/17/2022,2022,08,17,MonMon,OWC,5,W,-48.2,14:22,31.00,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,5,W,-81.7,14:26,34.00,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,5,W,60.3,14:30,,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,5,W,123.3,14:33,,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,5,W,-22.3,14:35,,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,5,W,-37.2,14:37,,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,10,W,-116.8,14:40,,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,10,W,-125.4,14:43,,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,10,W,-122.1,14:46,,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,10,W,-151.1,14:49,,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,10,W,-123.6,14:52,,32.50,,,,
8/17/2022,2022,08,17,MonMon,OWC,10,W,-128.5,14:55,,32.50,,,,
9/16/2022,2022,9,16,MonMon,CRC,10,W,302.7,12:00,15.0,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,10,W,313.3,,15.5,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,10,W,277.5,,17.4,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,10,W,270.7,,14.8,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,10,TR,-268.1,15:30,15.5,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,10,TR,-341.8,,,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,10,TR,-467,,,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,20,W,282.3,,,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,20,W,333.2,,,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,20,W,275.5,,,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,20,W,273.5,,,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,20,TR,80.6,,,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,20,TR,44.5,,,15.64,,,,
9/16/2022,2022,9,16,MonMon,CRC,20,TR,90.2,,,15.64,,,,
9/23/2022,2022,9,23,MonMon,PTR,5,TR,355.2,,,15.64,,,,
9/23/2022,2022,9,23,MonMon,PTR,5,TR,285.2,,,15.64,,,,
9/23/2022,2022,9,23,MonMon,PTR,5,TR,311.4,,,15.64,,,,
