"site","location","datetime","flag_out_of_water","temperature","actual_conductivity","specific_conductivity","salinity","tds","rdo_concen","rdo_perc_sat","rdo_part_pressure","p_h","p_h_orp","depth","water_density","resistivity","pressure_mbar","pressure_psi","ground_to_sensor_cm","density_gcm3_cor","pressurehead_m","wl_below_surface_m"
"CRC","UP",2022-03-17,"FALSE",10.2625714285714,3706.28285714286,5158.20857142857,2.76828571428571,3.35,1.672,15.4802857142857,21.5445714285714,7.34228571428571,111.842857142857,493.260285714286,1.002,269.813142857143,464.536165028571,6.73748571428571,491,1.002,4.72749559874476,-0.182504401255242
"CRC","UP",2022-03-18,"FALSE",10.3271428571429,3715.39714285714,5161.97142857143,2.77,3.35714285714286,1.36628571428571,12.6937142857143,17.6322857142857,7.328,149.257142857143,494.4,1.002,269.151714285714,465.657062514286,6.75374285714286,491,1.002,4.7389027578193,-0.1710972421807
"CRC","UP",2022-03-19,"FALSE",10.34,3718.73333333333,5165.37222222222,2.77,3.36,1.175,10.9988888888889,15.175,7.32222222222222,163.122222222222,498.223888888889,1.002,268.908888888889,469.397984,6.808,491,1.002,4.77697339944066,-0.13302660055934
"CRC","UP",2022-03-20,"FALSE",10.3338461538462,3720.73076923077,5168.58461538462,2.77,3.36,1.01076923076923,9.37769230769231,13.0507692307692,7.31923076923077,163.5,497.65,1.002,268.765384615385,468.862311076923,6.80023076923077,491,1.002,4.77152195867704,-0.138478041322961
"CRC","UP",2022-03-21,"FALSE",10.3211111111111,3719.62222222222,5168.64222222222,2.77,3.36,0.810888888888889,7.45155555555556,10.4631111111111,7.31977777777778,163.062222222222,494.709111111111,1.002,268.844888888889,465.972034488889,6.75831111111111,491,1.002,4.74210816729172,-0.16789183270828
"CRC","UP",2022-03-22,"FALSE",10.3139784946237,3718.4311827957,5168.1247311828,2.77,3.36,0.69741935483871,6.41870967741936,8.99892473118279,7.31989247311828,161.008602150538,495.212903225806,1.002,268.93064516129,466.468064688172,6.76550537634409,491,1.002,4.74715617164637,-0.162843828353632
"CRC","UP",2022-03-23,"FALSE",10.2997619047619,3716.45357142857,5167.34761904762,2.77,3.36,0.565119047619048,5.25690476190476,7.28678571428571,7.31988095238095,156.042857142857,501.145357142857,1.002,269.073571428571,472.267534095238,6.84961904761905,491,1.002,4.80617626127765,-0.103823738722347
"CRC","UP",2022-03-24,"FALSE",10.2819444444444,3712.49583333333,5164.3,2.77,3.36,0.410972222222222,3.84388888888889,5.30305555555556,7.32,151.495833333333,501.580833333333,1.002,269.360416666667,472.688335777778,6.85572222222222,491,1.002,4.8104586794227,-0.0995413205772964
"CRC","UP",2022-03-25,"FALSE",10.2690476190476,3710.04920634921,5162.56825396825,2.77,3.36,0.278571428571429,2.59952380952381,3.59095238095238,7.31984126984127,146.7,500.263968253968,1.002,269.538412698413,471.409514539683,6.8371746031746,491,1.002,4.79744436056057,-0.112555639439434
"CRC","UP",2022-03-26,"FALSE",10.255,3708.64814814815,5162.52962962963,2.77,3.35962962962963,0.193333333333333,1.80722222222222,2.48740740740741,7.31981481481481,142.551851851852,501.115185185185,1.002,269.64,472.255495555556,6.84944444444444,491,1.002,4.80605374736453,-0.10394625263547
"CRC","UP",2022-03-27,"FALSE",10.2359574468085,3706.62340425532,5162.44468085106,2.77,3.35978723404255,0.112553191489362,1.04042553191489,1.44702127659574,7.31978723404255,137.395744680851,494.958936170213,1.002,269.786382978723,466.241045787234,6.76221276595745,491,1.002,4.74484584376275,-0.165154156237254
"CRC","UP",2022-03-28,"FALSE",10.2169444444444,3703.68333333333,5160.98611111111,2.77,3.35333333333333,0.0238888888888889,0.225,0.296666666666667,7.31972222222222,127.513888888889,488.865277777778,1.002,270.001944444444,460.254713111111,6.67538888888889,491,1.002,4.6839240824242,-0.226075917575798
"CRC","UP",2022-03-29,"FALSE",10.19625,3699.90833333333,5158.49583333333,2.76875,3.35,0.00125,0.0145833333333333,-0.0758333333333333,7.32,119.408333333333,483.025833333333,1.002,270.2775,454.519580166667,6.59220833333333,491,1.002,4.62555873265341,-0.284441267346595
"CRC","UP",2022-03-30,"FALSE",10.1786666666667,3695.54666666667,5154.86,2.76133333333333,3.35,0.026,0.237333333333333,0.328666666666667,7.31933333333333,118.693333333333,490.483333333333,1.002,270.596666666667,461.836686666667,6.69833333333333,491,1.002,4.70002352437133,-0.209976475628669
"CRC","UP",2022-03-31,"FALSE",10.1521052631579,3691.26052631579,5152.61578947368,2.76,3.35,0.00394736842105263,0.0397368421052632,0.00342105263157895,7.31973684210526,117.4,503.211052631579,1.002,270.909473684211,474.282405473684,6.87884210526316,491,1.002,4.82668122147393,-0.0833187785260729
"CRC","UP",2022-04-01,"FALSE",10.1364893617021,3689.63723404255,5152.37340425532,2.76,3.35,0,0.000212765957446809,-0.130212765957447,7.31989361702128,115.53085106383,498.324893617021,1.002,271.029361702128,469.489670170213,6.80932978723404,491,1.002,4.77790647203818,-0.132093527961817
