,date,year,month,day,campaing,site,depth_cm,zone,ehf_m_v,time,tsoil,tmean,notes,x14,x15,x16,Eh,depth_cat
1,8/17/2022,2022,8,17,MonMon,OWC,5,W,-48.2,14:22:00,31,32.5,NA,NA,NA,NA,152.875,5
2,8/17/2022,2022,8,17,MonMon,OWC,5,W,-81.7,14:26:00,34,32.5,NA,NA,NA,NA,119.375,5
3,8/17/2022,2022,8,17,MonMon,OWC,5,W,60.3,14:30:00,NA,32.5,NA,NA,NA,NA,261.375,5
4,8/17/2022,2022,8,17,MonMon,OWC,5,W,123.3,14:33:00,NA,32.5,NA,NA,NA,NA,324.375,5
5,8/17/2022,2022,8,17,MonMon,OWC,5,W,-22.3,14:35:00,NA,32.5,NA,NA,NA,NA,178.775,5
6,8/17/2022,2022,8,17,MonMon,OWC,5,W,-37.2,14:37:00,NA,32.5,NA,NA,NA,NA,163.875,5
7,8/17/2022,2022,8,17,MonMon,OWC,10,W,-116.8,14:40:00,NA,32.5,NA,NA,NA,NA,84.275,10
8,8/17/2022,2022,8,17,MonMon,OWC,10,W,-125.4,14:43:00,NA,32.5,NA,NA,NA,NA,75.675,10
9,8/17/2022,2022,8,17,MonMon,OWC,10,W,-122.1,14:46:00,NA,32.5,NA,NA,NA,NA,78.975,10
10,8/17/2022,2022,8,17,MonMon,OWC,10,W,-151.1,14:49:00,NA,32.5,NA,NA,NA,NA,49.975,10
11,8/17/2022,2022,8,17,MonMon,OWC,10,W,-123.6,14:52:00,NA,32.5,NA,NA,NA,NA,77.475,10
12,8/17/2022,2022,8,17,MonMon,OWC,10,W,-128.5,14:55:00,NA,32.5,NA,NA,NA,NA,72.575,10
13,9/16/2022,2022,9,16,MonMon,CRC,10,W,302.7,12:00:00,15,15.64,NA,NA,NA,NA,515.88048,10
14,9/16/2022,2022,9,16,MonMon,CRC,10,W,313.3,NA,15.5,15.64,NA,NA,NA,NA,526.48048,10
15,9/16/2022,2022,9,16,MonMon,CRC,10,W,277.5,NA,17.4,15.64,NA,NA,NA,NA,490.68048,10
16,9/16/2022,2022,9,16,MonMon,CRC,10,W,270.7,NA,14.8,15.64,NA,NA,NA,NA,483.88048,10
17,9/16/2022,2022,9,16,MonMon,CRC,10,TR,-268.1,15:30:00,15.5,15.64,NA,NA,NA,NA,-54.91952,10
18,9/16/2022,2022,9,16,MonMon,CRC,10,TR,-341.8,NA,NA,15.64,NA,NA,NA,NA,-128.61952,10
19,9/16/2022,2022,9,16,MonMon,CRC,10,TR,-467,NA,NA,15.64,NA,NA,NA,NA,-253.81952,10
20,9/16/2022,2022,9,16,MonMon,CRC,20,W,282.3,NA,NA,15.64,NA,NA,NA,NA,495.48048,20
